,,,,,,,,,,,,,,,,,
,name,builder,value,owner,flag,year_delivered,refit,length,beam,gross_tonnage,cruising_speed,top_speed,naval_architect,exterior_designer,interior_designer,rank,profile_picture
,Andromeda,Kleven (Norway),250 000 000 $,Yuri Milner (Russian living in the US),Cayman Islands,2016,,107.4m,18m,"5,937",15 kn,16 kn,Marin Teknikk (Norway),Oscar Mike (New Zealand),"Oscar Mike (New Zealand), H2 Yacht Design (United Kingdom)",66,https://cdn.boatinternational.com/files/2023/12/612c6dd0-9509-11ee-8845-cfec9e5b30bc-ulysses-yacht.jpg 
,Mar ,Benetti (Italy),200 000 000 $,Sheikh Suroor bin Mohammed al Nahyan (Senoir member of the Abu Dhabi Royal Family),Cayman Islands,2020,,107m,15.2m,"3,800",16 kn,18.5 kn,Benetti (Italy),Benetti (Italy),Benetti (Italy),67,https://image.yachtbuyer.com/w1210/h694/qh/cs0-166-1920-1097/kdd072219/vessel/resource/1452969/mar-yacht-benetti.jpg 
,Black Pearl,Oceanco (The Netherlands),200 000 000 $,Oleg Burlakov (Russian billionaire dead in 2021 due to Covid),Cayman Islands,2018,,106.7m,15m,"2,864",12 kn,15 kn,"Oceanco (The Netherlands), Dykstra Naval Architects (The Netherlands) and BMT Nigel Gee (United Kingdom)",Ken Freivokh Design (United Kingdom) and Nuvolari Lenard (Italy),"Ken Freivokh Design (United Kingdom), Nuvolari Lenard (Italy) and Gerard P. Villate (France)",68,https://cdn.boatinternational.com/files/2020/11/6dbb30d0-1dc1-11eb-a403-f319cddb765a-Black-Pearl-6.jpg 
,Dream,Halic Tersaneleri (Turkey),150 000 000 $,George J. Prokopiou (Greek billionaire),Malta,1997,,106.5m,15.8m,"4,702",15 kn,17 kn,Halic Tersaneleri (Turkey),Studio Vafiadis (Italy),Ciarmoli Quesa Studio (Italy),69,https://www.superyachtfan.com/wp-content/uploads/2020/12/yacht-Dream-106m-Halic-Tersanleri-15.jpg 
,Amadea,Lürssen Yachts (Germany),325 000 000 $,Suleiman Kerimov (Russian billionaire),United States of America,2017,2019,106.1m,18.3m,"4,402",14 kn ,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),70,https://cdn.boatinternational.com/convert/bi_prd/bi/library_images/729CfdI0RW6ItsGVMwkg_Lurssen-amadea-listed-fro-sale-with-imperial.jpg/r%5Bwidth%5D=1920/729CfdI0RW6ItsGVMwkg_Lurssen-amadea-listed-fro-sale-with-imperial.jpg 
,H3,Oceanco (The Netherlands),150 000 000 $,Waleed bin Ibrahim al Ibrahim (Saudi billionaire),Cayman Islands,2000,Entirely rebuild in 2022 at Oceanco,105.26m,14.78m,"3,521",18 kn ,24 kn,Lateral Naval Architects (United Kingdom) and Oceanco (The Netherlands),Oceanco (The Netherlands) and Reymond Langton Design (United Kingdom),Reymond Langton Design (United Kingdom),71,https://cdn.boatinternational.com/convert/files/2023/05/5aa78160-ee43-11ed-bda1-c115e98ef395-h3-sea-trials-underway.jpg/r%5Bwidth%5D=1920/5aa78160-ee43-11ed-bda1-c115e98ef395-h3-sea-trials-underway.jpg 
,Lady Moura,Blohm & Voss (Germany),125 000 000 $,Ricardo Salinas Pliego (Mexican),Bahamas,1990,2023,104.85m,18.5m,"6,539",14 kn ,22 kn,Luigi Sturchio (Italy) and Blohm & Voss (Germany),Paolo Scanu (Germany),Luigi Sturchio (Italy),72,https://cdn.boatinternational.com/convert/bi_prd/bi/library_images/BRAOJDZPTcm3at4wIvNO_Lady-Moura-BlueiProd-1.gif/r%5Bwidth%5D=1920/BRAOJDZPTcm3at4wIvNO_Lady-Moura-BlueiProd-1.gif 
,Quantum Blue ,Lürssen Yachts (Germany),250 000 000 $,Sergey Galitskiy (Russian billionaire),Cayman Islands,2014,,104m,16.8m,"4,341",13 kn ,22 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Alberto Pinto (France),73,https://photos.superyachtapi.com/download/101921/extra-large 
,Al Mabrukah,Picchiotti (Italy),,Oman government,Oman,1982,2009,103.85m,16.25m,"4,633",16 kn,18 kn,Picchiotti (Italy) and Omani RYS (Oman),Nuovi Cantieri Apuania (Italy),Omani RYS (Oman),74,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/kde021963/vessel/resource/64808/charter-al-mabrukah-yacht.jpg 
,Ulysses ,Feadship (The Netherlands),275 000 000 $,Graeme Hart (New Zealand),Marshall Islands,2024,,102.54m,15.5m,"2,999",,18 kn,Azure Yacht Design and Naval Architecture (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),75,https://image.yachtbuyer.com/w1210/h694/qh/ca/k764233cd/vessel/resource/2768333/ulysses-yacht-feadship.jpg 
,Symphony,Feadship (The Netherlands),150 000 000 $,Bernard Arnault (France),Cayman Islands,2015,Last refit done in 2023,101.5m,14.1m,"3,463",10 kn,21 kn,Feadship De Voogt Naval Architects (The Netherlands),Tim Heywood Design (United Kingdom),François Zuretti (France),76,https://image.yachtbuyer.com/w1210/h694/qh/ca/k69a9ea60/vessel/resource/1455811/symphony-yacht-feadship.jpg 
,Attessa IV,Hayashikane (Japan),150 000 000 $,Dennis Washington (American),Cayman Islands,1999,,100.89m,12.8m,"2,621",21 kn,23 kn,Diana Yacht Design (The Netherlands),Felix Buytendijk Yacht Design (The Netherlands),Felix Buytendijk Yacht Design (The Netherlands),77,https://cdn.boatinternational.com/files/2023/12/234a0940-9aa5-11ee-bf8b-29436916ca7c-atessa-anchored.jpg 
,I Dynasty,Peterswerft - Kusch (Germany),200 000 000 $,Alijan Ibragimov (Kazakh oligarch who passed away in February 2021),Cayman Islands,2015,Last refit done in 2023,100.8m,16m,"4,300",14 kn ,17 kn,The A Group (Monaco),The A Group (Monaco),Massari Design (Italy),78,https://photos.superyachtapi.com/download/218604/extra-large 
,Moonrise,Feadship (The Netherlands),220 000 000 $,"Jan Koum (Ukrainian-American, founder of What's App)",Cayman Islands,2020,,99.95m,15.5m,"3,945",16 kn,19.5 kn,Feadship De Voogt Naval Architects (The Netherlands),Rémi Tessier (France) and Studio de Voogt (The Netherlands),Rémi Tessier (France),79,https://cdn.boatinternational.com/files/2025/05/6fd75540-272d-11f0-af75-f9fc74fe1bb8-moonrise-sea-trials.jpg
,Christina O,Canadian Vickers (Canada),40 000 000 $,"Ivor Fitzpatrick (Ireland, founder of one of Ireland's most respected law firms)",Malta,1943,2001,99.14m,11.13m,"1,802",18 kn ,20 kn,Howaldtswerke (Germany) and Prof. Cäsar Pinnau (Germany),Costas Carabelas (Greece),Apostolos Molindris (Greece),80,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k7f6899c1/vessel/resource/630363/charter-christina-o-yacht.jpg 
,Madame Gu,Feadship (The Netherlands),150 000 000 $,Andrey Skoch (Russian billionaire),Cayman Islands,2013,,99m,15.18m,"2,991",16 kn,24 kn,Feadship De Voogt Naval Architects (The Netherlands),Winch Design (United Kingdom),Winch Design (United Kingdom)  ,81,https://upload.wikimedia.org/wikipedia/commons/0/0c/Madame_Gu.jpg 
,Aviva,Abeking & Rasmussen (Germany),250 000 000 $,Joe Lewis (British billionaire),Cayman Islands,2017,,98.4m,17.2m,"4,966",14 kn ,20 kn,Abeking & Rasmussen (Germany),Reymond Langton Design (United Kingdom),Reymond Langton Design (United Kingdom),82,https://photos.superyachtapi.com/download/300951/extra-large 
,Carinthia VII,Lürssen Yachts (Germany),180 000 000 $,Rúben Cherñajovsky (Argentinian),Marshall Islands,2002,2022,97.2m,16.6m,"3,643",18 kn ,25 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Bazzizero Cassina Architects (Italy) and Ellehorst Kreuter (Austria),83,https://stories.boatinternational.com/rhapsody-in-blue-on-board-the-the-landmark-l-rssen-carinthia-vii-boat-international/assets/oGLpgrsqLP/carinthiavii_after-refit-c-tom-van-oossanen_1707-2560x1440.jpg 
,Mayan Queen IV,Blohm & Voss (Germany),175 000 000 $,"Alberto Bailleres (Mexican billionaire who passed away, yacht still owned by the family)",Cayman Islands,2008,,96.75m,15.88m,"3,897",20 kn,22 kn,Blohm & Voss (Germany),Tim Heywood Design (United Kingdom),Terence Disdale (United Kingdom),84,https://photos.superyachtapi.com/download/19070/large 
,Sophia,Feadship (The Netherlands),200 000 000 $,Michael Latifi (Iranian-Canadian businessman),Cayman Islands,2017,Last refit done in 2019,96.55m,14.5m,"2,999",15 kn,17 kn,Feadship De Voogt Naval Architects (The Netherlands),RWD (United Kingdom),Chahan Interior Design (France) and RWD (United Kingdom),85,https://image.yachtbuyer.com/w1210/h694/qh/cs0-61-1784-1020/kf46b555b/vessel/resource/1445854/sophia-yacht-feadship.jpg 
,Limitless,Lürssen Yachts (Germany),100 000 000 $,Leslie Wexner (Former CEO of Victoria Secret's and American billionaire),United States of America,1997,Last refit done in 2023,96.25m,12.4m,"2,146",17 kn,25 kn,Lürssen Yachts (Germany),Jon Bannenberg (Australia/British),François Catroux (France) and Tim Heywood Design (United Kingdom),86,https://cdn.boatinternational.com/convert/files/2021/05/2560cdb0-ba3b-11eb-931a-310a6c5430e7-Limitless-iconic-yachts-3.jpg/r%5Bwidth%5D=1920/2560cdb0-ba3b-11eb-931a-310a6c5430e7-Limitless-iconic-yachts-3.jpg 
,Vava II ,Devonport (United Kingdom),180 000 000 $,Ernesto Bertarelli (Swiss billionaire with italian background),Cayman Islands,2012,Refit done in 2020,96m,17.3m,"3,930",16 kn,20 kn,Devonport (United Kingdom),RWD (United Kingdom),Rémi Tessier (France),87,https://cdn.boatinternational.com/images/20160401/1-107597l-2560x1440.jpg 
,Whisper (ex Kismet),Lürssen Yachts (Germany),200 000 000 $,Eric Schmidt (American),Cayman Islands,2014,,95.2m,13.8m,"2,928",14 kn ,17 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Reymond Langton Design (United Kingdom),88,https://www.moranyachts.com/wp-content/uploads/2017/09/lurssen-yacht-kismet-profile.jpg 
,Av (ex Palladium),Blohm & Voss (Germany),200 000 000 $,Dennis Washington (American),Cayman Islands,2010,Last refit done in 2022,95.15m,16.22m,"4,447",16 kn,19 kn,Blohm & Voss (Germany),Michael Leach Design (United Kingdom),Michael Leach Design (United Kingdom),89,https://cdn.boatinternational.com/files/2021/06/899fd3b0-d44f-11eb-9014-ddcfed5682d6-palladium-yacht-report-underway-side-running.jpg 
,CC-Summer,Lürssen Yachts (Germany),250 000 000 $,Terry Taylor (American billionaire who made fortune with the automobile industry),Marshall Islands,2019,Last refit done in 2022,95m,14m,"3,250",16 kn,18 kn,Lürssen Yachts (Germany),Harrison Eidsgaard (United Kingdom),Laura Sessa Design (Italy),90,https://cdn.boatinternational.com/convert/bi_prd/bi/library_images/sTLvADTMRjeuqZtPvyxQ_madsummer-jeff-brown.jpg/r%5Bwidth%5D=1920/sTLvADTMRjeuqZtPvyxQ_madsummer-jeff-brown.jpg 
,Bliss,Feadship (The Netherlands),200 000 000 $,"Evan Spiegel (American, co-founder of Snapchat)",Marshall Islands,2021,Last refit done in 2022,94.75m,14.7m,"2,983",15 kn,17 kn,Feadship De Voogt Naval Architects (The Netherlands),Studio de Voogt (The Netherlands),Rémi Tessier (France),91,https://cdn.boatinternational.com/files/2021/08/e35b8b10-f376-11eb-9bc6-d54373cdd035-Bliss-maiden-voyage.jpg 
,O'Pari,Golden Yachts (Greece),,Paris Dragnis (Greek owner and chairman of Golden Yachts shipyard),Malta,2020,,94.6m,13.8m,"2,743",,20 kn,Nafpigiki Hellas & Co. (Greece),Studio Vafiadis (Italy),Studio Vafiadis (Italy),92,https://www.goldenyachts.gr/wp-content/uploads/2023/06/1-FLEET-OPARI-1-1.jpg 
,Viva,Feadship (The Netherlands),175 000 000 $,Kenneth Griffin (US billionaire),Cayman Islands,2021,,94m,13.6m,"2,988",12 kn,20 kn,Feadship De Voogt Naval Architects (The Netherlands),Azure Yacht Design and Naval Architecture (The Netherlands) AND Studio de Voogt (The Netherlands),Peter Marino (USA),93,https://d3gghfo2xrrrqp.cloudfront.net/wp-content/uploads/2025/02/Feadhsip-Yachts-for-Sale-3.jpg 
,Lady S,Feadship (The Netherlands),180 000 000 $,Dan Snyder (US billionaire),Cayman Islands,2019,,93m,14.1m,"2,999",14 kn ,17.5 kn,Feadship De Voogt Naval Architects (The Netherlands),Michael Leach Design (United Kingdom),Reymond Langton Design (United Kingdom),94,https://www.superyachtfan.com/wp-content/uploads/2020/10/yacht-Lady-S-Feadship.jpg 
,Eos ,Lürssen Yachts (Germany),70 000 000 $,Barry Diller (US billionaire),Cayman Islands,2006,,92.93m,13.5m,"1,500",14 kn ,16 kn,Lürssen Yachts (Germany),Bill Langan (USA) ,François Catroux (France),95,https://s3-eu-west-1.amazonaws.com/cilent-imports.bi.artirix.com/28999_100-eos-yacht-exterior.jpg 
,Royal Romance ,Feadship (The Netherlands),200 000 000 $,Viktor Medvedchuk (Ukrainian billionaire),Malaysia,2015,,92.5m,14.3m,"2,900",12 kn ,15 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Seymour Diamond (United Kingdom),96,https://photos.superyachtapi.com/download/159762/extra-large
,Tatoosh,Nobiskrug (Germany),90 000 000 $,Registered to a company called TALLULA LTD. ,Cayman Islands,2000,,92.42m,14.95m,"3,229",18 kn ,19 kn,Claus Kusch (Germany),"Claus Kusch (Germany), Bastiaan Sonneveld (The Netherlands)","Terence Disdale (United Kingdom), Achille Associates (USA)",97,https://cdn.boatinternational.com/convert/files/2021/02/c9b90000-7830-11eb-b4e6-17a3b498d255-TATOOSH_exterior2.jpg/r%5Bwidth%5D=1920/c9b90000-7830-11eb-b4e6-17a3b498d255-TATOOSH_exterior2.jpg 
,Aquarius,Feadship (The Netherlands),200 000 000 $,Maybe Royal Family of Qatar ,Cayman Islands,2016,,92m,13.5m,"2,856",12 kn ,18 kn,Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),98,https://photos.superyachtapi.com/download/216740/large 
,Drizzle,Feadship (The Netherlands),300 000 000 $,Amancio Ortega (Spanish billionaire),Malta,2024,,91.8m,14.5m,"2,965",,17.5 kn,Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),99,https://cdn.boatinternational.com/files/2024/06/eb5079d0-295a-11ef-8dfc-9b07a4ba49c1-feadship-1012-sea-trials-2.jpg 
,Tranquility,Oceanco (The Netherlands),150 000 000 $,Gabe Newell (American billionaire),Cayman Islands,2014,,91.5m,14.6m,"2,999",16 kn,19.5 kn,"Oceanco (The Netherlands), BMT Nigel Gee (United Kingdom) and Azure Yacht Design and Naval Architecture (The Netherlands)",Oceanco (The Netherlands) ,Winch Design (United Kingdom)  ,100,https://www.filepicker.io/api/file/yhHMgUSURuW8StGOAxCu 
,Queen Miri,Neorion (Greece),70 000 000 $,Sheldon Adelson's family since his death in 2021 (American),Marshall Islands,2004,,91.5m,14.44m,"3,367",16 kn,18 kn,Murray & Associates (USA) and Stolk Marimecs (The Netherlands),Bernd Weel Design (The Netherlands) and Alpha Marine (Greece),Massari Design (Italy),101,https://www.filepicker.io/api/file/IFpyRNbETxaVCefNQ0Bw 
,Nahlin,Brown J (United Kingdom),70 000 000 $,"James Dyson (British billionaire, founder of Dyson enterprise)",United Kingdom,1930,,91.44m,11.03m,"1,377",15 kn,18 kn,G.L. Watson (Scotland),G.L. Watson (Scotland),Sir Charles Allom (United Kingdom) and Rémi Tessier (France),102,https://www.superyachtfan.com/wp-content/uploads/2020/11/yacht-Nahlin-1.webp 
,Voyager ,Swiftships (USA),,,Marshall Islands,1997,Full scale rebuild at Dania Cut Super Yacht Repair (USA) in 2019,91.4m,14m,"2,785",,,Boris Kirilloff (USA),Rafael Ochoa (USA) and Boris Kirilloff (USA),,103,https://cdn.boatinternational.com/convert/bi_prd/bi/library_images/Ksdn3rykQGWSQxZwLvCI_12778887-my-voyager.jpg/r%5Bwidth%5D=1920/Ksdn3rykQGWSQxZwLvCI_12778887-my-voyager.jpg 
,Moonlight II,Neorion (Greece),100 000 000 $,Sheikh Sultan bin Khalifa al Nahyan (Emir of Abu Dhabi),Malta,2005,,91.4m,14.44m,"2,982",16 kn,18 kn,Murray & Associates (USA) and Alpha Marine (Greece),Lally Poulias (Greece) and Alpha Marine (Greece),Lally Poulias (Greece) and Alpha Marine (Greece),104,https://media.fraseryachts.com/Yachts/Y6526_NB/images/website/MOONLIGHT+II_01_M9G1A7831%40ameller_retouched1-o5OVecJm.jpg?vh=279bbd 
,Lady Lara ,Lürssen Yachts (Germany),180 000 000 $,Alexander Machkevitch (Kazakh billionaire),Cayman Islands,2015,,91m,14.35m,"2,945",14 kn ,17 kn,Lürssen Yachts (Germany),Reymond Langton Design (United Kingdom),Reymond Langton Design (United Kingdom),105,https://cdn.boatinternational.com/convert/images/20151118/2-83641l-2560x1440.jpg/r%5Bwidth%5D=1920/2-83641l-2560x1440.jpg 
,Dubawi,Cantieri Navali Ferrari (Italy),35 000 000 $,Sheikh Hamdan bin Mohammed Al Maktoum (Crown Prince of Dubai),United Arab Emirates,1989,Converted into a superyacht in Platinum shipyard in 2007,90.6m,15.3m,"4,184",16 kn,17 kn,Cantieri Navali Ferrari (Italy),Cantieri Navali Ferrari (Italy),Platinum (Dubai),106,https://photos.superyachtapi.com/download/230975/extra-large 
,Ice ,Lürssen Yachts (Germany),150 000 000 $,Teodoro Nguema Obiang Mangue (Vice president of Equatorial Guinea),Cayman Islands,2005,,90.1m,15m,"3,268",16 kn,19 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Terence Disdale (United Kingdom),107,https://cdn.boatinternational.com/images/20160504/1-111931l-2560x1440.jpg 
,Nero,Corsair Yachts (China),70 000 000 $,Denis O'Brien (Irish billionaire),Cayman Islands,2007,,90.1m,12m,"1,413",13.5 kn,17 kn,Imt Marine Consultants (United Kingdom),Neil Taylor (United Kingdom),Neil Taylor (United Kingdom) and Luxury Projects (Italy),108,https://cdn.boatinternational.com/images/20170313/1-134843l-2560x1440.jpg 
,Phoenix 2,Lürssen Yachts (Germany),160 000 000 $,Previous owner was Sebastian Kulczyk (Polish billionaire),Malta,2010,,90.01m,13.8m,"2,667",14 kn ,18 kn,Lürssen Yachts (Germany),Winch Design (United Kingdom),Winch Design (United Kingdom)  ,109,https://images.northropandjohnson.com/yacht/HMxEHS7kU8/5ee18b9340b5c44f6fccf7d1/3AF72140.jpg?auto=format&q=65&h=1&ar=16%3A9&fit=crop 
,Lionheart,Benetti (Italy),150 000 000 $,Philip Green (British),Malta,2016,,90m,14.4m,"2,990",16 kn,18 kn,Benetti (Italy),Stefano Natucci (Italy),Green & Mingarelli Design (Monaco),110,"https://i6.superyachts.com/yacht-resource/32530?w=5508&h=3689&t=296&r=5506&b=3101&l=1&o=w{2}cc{1,296,5506,3101}"
,Lauren L,Cassens (Germany),75 000 000 $,Igor Kolomoisky (Ukrainian billionaire),Cayman Islands,2002,,90m,14m,"2,942",14 kn ,15.5kn,Cassens Werft (Germany),Cassens Werft (Germany) and Alpha Marine (Greece),Alpha Marine (Greece),111,https://s3-eu-west-1.amazonaws.com/cilent-imports.bi.artirix.com/28620_101-lauren-l-yacht-exterior.jpg 
,Athena,Royal Huisman (The Netherlands),70 000 000 $,Jim Clark (US billionaire),Cayman Islands,2004,,90m,12.2m,"1,103",14 kn ,18.9kn,Dykstra Naval Architects (The Netherlands),Pieter Beeldsnijder (The Netherlands),"Pieter Beeldsnijder (The Netherlands), Rebecca Bradley (US) and Axel de Beaufort (France)",112,https://s3-eu-west-1.amazonaws.com/cilent-imports.bi.artirix.com/24222_001-athena-yacht-for-sale-profile.jpg 
,Dreamboat,Oceanco (The Netherlands),180 000 000 $,Arthur Blank (US billionaire),Cayman Islands,2019,,90m,14.2m,"2,950",12 kn,16 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Espen Oeino International (Monaco),Terence Disdale (United Kingdom),113,https://img.nauticexpo.fr/images_ne/photo-g/26305-17818038.jpg
,Norn,Lürssen Yachts (Germany),250 000 000 $,Charles Simonyi (Hungarian-American billionaire),Cayman Islands,2023,,90m,14.7m,"3,491",14 kn ,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Doelker & Voges (Germany),114,https://cdn.boatinternational.com/files/2023/06/fd534190-0911-11ee-a1c4-359adcabdbf5-norn-yacht-arriving.jpg 
,Luna,Oceanco (The Netherlands),175 000 000 $,Robert Friedland (US and Canadian billionaire),Cayman Islands,2018,,90m,14.2m,"2,926",14 kn ,20 kn,Azure Yacht Design and Naval Architecture (The Netherlands),Luiz De Basto (US),Nuvolari Lenard (Italy),115,https://cdn.boatinternational.com/files/2024/06/20705a30-3465-11ef-b654-a5cd635ec211-DAR-exterior_credit_Edwrightimages_-0373.jpg 
,Here Comes the Sun,Amels (The Netherlands),195 000 000 $,Zygmunt Solorz-Zak (Polish billionaire),Marshall Islands,2016,,89m,15.61m,"2,955",13.5kn,17.5 kn,"Amels (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)","Tim Heywood Design (United Kingdom), Azure Yacht Design and Naval Architecture (The Netherlands)",Winch Design (United Kingdom)  ,116,https://cdn.boatinternational.com/files/2021/12/1ffcd730-5430-11ec-a224-712db76f48f7-Here-Comes-The-Sun-underway.jpg 
,Samsara,Oceanco (The Netherlands),150 000 000 $,J.K. Rowling (British),Cayman Islands,2015,,89m,14.2m,"2,914",16 kn,20 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Espen Oeino International (Monaco),"David Kleinberg Design (US), Sinot Yacht Architecture & Design (The Netherlands)",117,"https://assets.y.co/upload/f_auto,q_70,c_fill,w_3240/v1707925815/yacht/samsara/yacht-samsara-202401-exterior-03_i07nwm.jpg "
,Barbara,Oceanco (The Netherlands),150 000 000 $,Felix Baker (US billionaire),Cayman Islands,2017,,88.5m,14.5m,"2,984",16 kn,18.5 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Sam Sorgiovanni (Australia),Sam Sorgiovanni (Australia),118,https://cdn.boatinternational.com/bi_prd/bi/library_images/k9KF1wlT3uyjEzlmMwbk_sraey.jpg 
,Eternal Tsingshan,Pride Mega Yachts (China),100 000 000 $,,Marshall Islands,2018,,88.5m,15.39m,"3,642",12 kn,16 kn,Azure Yacht Design and Naval Architecture (The Netherlands),Rainsford Saunders Design (United Kingdom),Sinot Yacht Architecture & Design (The Netherlands),119,https://www.superyachtfan.com/wp-content/uploads/2020/11/yacht-Illusion-Plus-89m-Pride-Mega-Yachts-82-1024x682.webp 
,Nirvana,Oceanco (The Netherlands),120 000 000 $ ,Vladimir Potanin (Russian oligarch),Malaysia,2012,,88.5m,14.2m,"2,786",16 kn,19.5 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Sam Sorgiovanni (Australia),Sam Sorgiovanni (Australia),120,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k0bdfbde9/vessel/resource/1452489/charter-nirvana-yacht.jpg 
,Olivia O,Ulstein Verft (Norway),200 000 000 $,Eyal Ofer (Israeli-British billionaire),Malta,2020,,88.5m,16.3m,"4,989",14 kn ,16.5 kn,Ulstein Verft (Norway),Espen Oeino International (Monaco),Droulers Architecture (Italy),121,https://cdn.boatinternational.com/bi_prd/bi/library_images/M5KiTlqQA5zEPPJsqdhQ_olivia-o-homepage-sailing-yacht-a-credit.jpg 
,Zen,Feadship (The Netherlands),200 000 000 $,Wu Guangming (Chinese billionaire),Cayman Islands,2021,,88.38m,13.5m,"2,999",13 kn ,17 kn,Feadship De Voogt Naval Architects (The Netherlands),Studio de Voogt (The Netherlands),"FM - Architettura d'interni (Italy), Nauta Design (Italy)",122,https://s3.eu-west-2.amazonaws.com/cecilwright-craft/store/_large/159237/ZEN-BANNER.jpg 
,Asean Lady,Pride Mega Yachts (China),35 000 000 $,Vincent Tan (Malaysian) and Brian Chang (born in South Africa but lives in Singapore),Panama,2004,,88.15m,21.27m,"2,385",12 kn,15 kn,"Yantai Raffles (China), Ian Mitchell (Australia)",Nzami ,"Australian Motor Yachts (Australia), Zhaoxin (China), Xiangqun (China), Annie Chang (China)",123,https://www.superyachtfan.com/wp-content/uploads/2021/02/yacht-Asean-Lady-Yantai-Raffles-2004-Brian-Chang-10.webp 
,Maltese Falcon,Perini Navi (Italy) but built in Turkey,75 000 000 $,Elena Ambrosiadou (born in Greece and moved to the UK),Malta,2006,,88m,12.6m,"1,112",14 kn ,18 kn,"Dykstra Naval Architects (The Netherlands), Perini Navi (Italy)",Ken Freivokh Design (United Kingdom),"Sinnex (Austria), Ken Freivokh Design (United Kingdom), Perini Navi (Italy)",124,"https://i6.superyachts.com/yacht-resource/43323?w=5158&h=3439&t=330&r=5158&b=2901&l=0&o=w{2}cc{0,330,5158,2901} "
,Musashi,Feadship (The Netherlands),160 000 000 $,"Lary Ellison (US billionaire, co-founder of Oracle)",Cayman Islands,2011,,87.78m,13.9m,"2,463",18 kn ,20.9 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),125,https://cdn.boatinternational.com/files/2021/10/9e2c35e0-35ab-11ec-9307-bde532251302-musashi-feadship-running-2.jpg 
,Fountainhead,Feadship (The Netherlands),130 000 000 $,Eddie Lampert (US billionaire),Cayman Islands,2011,,87.78m,13.9m,"2,463",15 kn,21 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),126,https://www.superyachtfan.com/wp-content/uploads/2020/10/MY-Fountainhead-88m-Feadship-3.webp 
,Project X,Golden Yachts (Greece),150 000 000 $,,Malta,2022,,87.6m,14.8m,"2,974",12 kn,18 kn,Marco Yachts (Chile),Ken Freivokh Design (United Kingdom),Massari Design (Italy),127,https://cdn.boatinternational.com/listing/2024/06/5625cf50-2f12-11ef-9348-11c9ba817a26-PROJECTX-6436-Theatro0000.jpg 
,Arctic P,Schichau-Unterweser (Germany),80 000 000 $,Gretel Packer (Australian business woman),Bahamas,1969,Massive refit in 2015 by Kusch  with conversion to superyacht,87.57m,14.78m,"2,610",15 kn,18 kn,Schichau-Unterweser (Germany),Schichau-Unterweser (Germany),"Adrian Sassoon (United Kingdom), Cath Kidston (United Kingdom)",128,https://cdn.boatinternational.com/convert/images/20160401/1-107503l-2560x1440.jpg/r%5Bwidth%5D=1920/1-107503l-2560x1440.jpg 
,OceanXplorer,Freire (Spain),200 000 000 $,Ray Dalio (US billionaire),Marshall Islands,2010,,87.1m,18m,"5,399",14 kn ,16.5 kn,Skipsteknisk (Norway),"Gresham Yacht Design (United Kingdom), Skipsteknisk (Norway)","Gresham Yacht Design (United Kingdom), Christina Fallah Design (United Kingdom)",129,https://cdn.boatinternational.com/files/2021/02/ce13f530-6ac8-11eb-977f-b186d6d08249-OceanXplorer-expedition-yacht-2.jpg 
,Avantage,Lürssen Yachts (Germany),200 000 000 $,Bulat Utemuratov (Kazakh billionaire),Cayman Islands,2020,,87m,13.8m,"2,950",12 kn,16 kn,Lürssen Yachts (Germany),Bannenberg & Rowell (United Kingdom),Bannenberg & Rowell (United Kingdom),130,https://www.filepicker.io/api/file/0IUEZIyHRpKnfGG514SQ 
