,,,,,,,,,,,,,,,,,
,name,builder,value,owner,flag,year_delivered,refit,length,beam,gross_tonnage,cruising_speed,top_speed,naval_architect,exterior_designer,interior_designer,rank,profile_picture
,Yas,De Schelde (The Netherlands),180 000 000 $,Sheikh Hamdan bin Zayed al Nahyan (member of the Abu Dhabi royal family),Cayman Islands,2012,2020,141m,14.6m,"5,002",22 kn ,26 kn,Pierrejean Design Studio (France) & De Schelde (The Netherlands),Pierrejean Design Studio (France),Pierrejean Design Studio (France),17,https://cdn.boatinternational.com/convert/files/2021/10/b4324120-359e-11ec-8740-f3a33522d767-Yas-yacht-Peter-Seyfferth009.jpg/r%5Bwidth%5D=1920/b4324120-359e-11ec-8740-f3a33522d767-Yas-yacht-Peter-Seyfferth009.jpg 
,Ocean Victory,Fincantieri (Italy),300 000 000 $,Viktor Rashnikov (Russian),Cayman Islands,2014,,140m,20m,"8,506",18 kn ,25 kn,Espen Oeino International (Monaco),Espen Oeino International (Monaco),Alberto Pinto (France),18,https://www.filepicker.io/api/file/oTRnUxGMQTmYQLgYXkcs 
,Solaris,Lloyd Werft (Germany),600 000 000 $,Roman Abramovich (Russian),Bermuda,2021,,139.7m,22m,"11,247",15 kn,18 kn,Marc Newson (Australia),Marc Newson (Australia),Marc Newson (Australia),19,https://cdn.boatinternational.com/convert/files/2021/10/0b435910-3705-11ec-b058-15f381fc9477-Solaris-spotted.jpg/r%5Bwidth%5D=1920/0b435910-3705-11ec-b058-15f381fc9477-Solaris-spotted.jpg 
,Al Salamah,Lürssen Yachts (Germany),280 000 000 $,Royal Family of Saudi Arabia,Saudi Arabia,1999,,139.29m,23.5m,"12,234",17 kn,21.5 kn,Lürssen Yachts (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),20,https://www.superyachtfan.com/wp-content/uploads/2020/10/Al-Salamah-yacht-9.jpg 
,Luminance ,Lürssen Yachts (Germany),500 000 000 $,Rinat Akhmetov (Ukrainian),Cayman Islands,2024,,138.8m,20m,"9,861",15 kn,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),21,https://photos.superyachtapi.com/download/286165/large 
,Rising Sun,Lürssen Yachts (Germany),400 000 000 $,David Geffen (American),Cayman Islands,2004,,138.01m,19m,"7,600",26 kn,30 kn,Lürssen Yachts (Germany),Jon Bannenberg (Australia/British),Laura Seccombe (USA),22,https://photos.superyachtapi.com/download/202258/large 
,Dhafi,Bremer Vulkan (Germany),,,Comoros,1987,,136.34m,21.04m,"10,797",19 kn,21 kn,Bremer Vulkan (Germany),Three Quays Marine (United Kingdom),,23,https://photos.superyachtapi.com/download/1009/large 
,Flying Fox,Lürssen Yachts (Germany),400 000 000 $,Dmitry Kamenshchik (Russian),Malaysia,2019,,136m,20.5m,"9,100",10 kn,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Mark Berryman (United Kingdom),24,https://cdn.lurssen.com/images/new-build/the-yachts/flying-fox/header.jpg 
,Savarona ,Blohm & Voss (Germany),100 000 000 $,Government of Turkey ,Turkey,1931,1989,135.94m,16.12m,"4,701",16 kn,18 kn,Gibbs & Cox (USA),Gibbs & Cox (USA),Donald Starkey (USA),25,https://cdn.boatinternational.com/convert/files/2024/08/0a5df170-54b4-11ef-a1e1-67fb0fe4b074-savarona-refit-3.jpg/r%5Bwidth%5D=1920/0a5df170-54b4-11ef-a1e1-67fb0fe4b074-savarona-refit-3.jpg 
,Crescent,Lürssen Yachts (Germany),600 000 000 $,Igor Sechin (Russian),Cayman Islands,2018,,135.5m,21m,"9,194",12 kn,18 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),26,https://image.yachtcharterfleet.com/w1450/h580/qh/cs0-256-1900-760/kab47e930/article/content/1685280/135m-lurssen-m-y-crescent-ex-project-thunder-delivered.jpg 
,Serene,Fincantieri (Italy),400 000 000 $,Crown Prince Mohammed bin Salman of Saudi Arabia,Cayman Islands,2011,,133.9m,18.6m,"8,231",14 kn ,18 kn,Espen Oeino International (Monaco),Espen Oeino International (Monaco),Reymond Langton Design (United Kingdom),27,https://cdn.boatinternational.com/files/2020/12/8f84d000-3bd9-11eb-957a-6996e21593a4-top-25-serene-credit-Marc-Paris.jpg 
,Al Mirqab,Peterswerft - Kusch (Germany),300 000 000 $,Sheikh Hamad bin Jassim bin Jaber al Thani (Qatar),Cayman Islands,2008,2014,133m,19.5m,"5,000",17 kn,20 kn,Kusch Yachts (Germany),Tim Heywood Design (United Kingdom),Winch Design (United Kingdom)  ,28,https://cdn.boatinternational.com/files/2021/10/1a6536d0-2da4-11ec-9e73-7dbc9065f39b-Al-Mirqab-PeterSeyfferth-yacht.jpg 
